,identifiers,origin,title
564,deut3378,europa/deutschl/ballad,deut3378
565,deut3393,europa/deutschl/ballad,deut3393
566,deut3387,europa/deutschl/ballad,deut3387
567,deut3634,europa/deutschl/ballad,deut3634
568,deut3152,europa/deutschl/ballad,deut3152
569,deut3146,europa/deutschl/ballad,deut3146
570,deut3620,europa/deutschl/ballad,deut3620
571,deut3608,europa/deutschl/ballad,deut3608
572,deut3191,europa/deutschl/ballad,deut3191
573,deut3185,europa/deutschl/ballad,deut3185
574,deut3026,europa/deutschl/ballad,deut3026
575,deut3032,europa/deutschl/ballad,deut3032
576,deut3224,europa/deutschl/ballad,deut3224
577,deut3542,europa/deutschl/ballad,deut3542
578,deut3556,europa/deutschl/ballad,deut3556
579,deut3230,europa/deutschl/ballad,deut3230
580,deut3218,europa/deutschl/ballad,deut3218
581,deut3581,europa/deutschl/ballad,deut3581
582,deut3595,europa/deutschl/ballad,deut3595
583,deut3594,europa/deutschl/ballad,deut3594
584,deut3580,europa/deutschl/ballad,deut3580
585,deut3219,europa/deutschl/ballad,deut3219
586,deut3557,europa/deutschl/ballad,deut3557
587,deut3231,europa/deutschl/ballad,deut3231
588,deut3225,europa/deutschl/ballad,deut3225
589,deut3543,europa/deutschl/ballad,deut3543
590,deut3033,europa/deutschl/ballad,deut3033
591,deut3027,europa/deutschl/ballad,deut3027
592,deut3184,europa/deutschl/ballad,deut3184
593,deut3190,europa/deutschl/ballad,deut3190
594,deut3609,europa/deutschl/ballad,deut3609
595,deut3147,europa/deutschl/ballad,deut3147
596,deut3621,europa/deutschl/ballad,deut3621
597,deut3635,europa/deutschl/ballad,deut3635
598,deut3153,europa/deutschl/ballad,deut3153
599,deut3386,europa/deutschl/ballad,deut3386
600,deut3392,europa/deutschl/ballad,deut3392
601,deut3379,europa/deutschl/ballad,deut3379
602,deut3423,europa/deutschl/ballad,deut3423
603,deut3345,europa/deutschl/ballad,deut3345
604,deut3351,europa/deutschl/ballad,deut3351
605,deut3437,europa/deutschl/ballad,deut3437
606,deut3347,europa/deutschl/ballad,deut3347
607,deut3421,europa/deutschl/ballad,deut3421
608,deut3435,europa/deutschl/ballad,deut3435
609,deut3353,europa/deutschl/ballad,deut3353
610,deut3409,europa/deutschl/ballad,deut3409
611,deut3384,europa/deutschl/ballad,deut3384
612,deut3390,europa/deutschl/ballad,deut3390
613,deut3623,europa/deutschl/ballad,deut3623
614,deut3145,europa/deutschl/ballad,deut3145
615,deut3151,europa/deutschl/ballad,deut3151
616,deut3637,europa/deutschl/ballad,deut3637
617,deut3179,europa/deutschl/ballad,deut3179
618,deut3186,europa/deutschl/ballad,deut3186
619,deut3192,europa/deutschl/ballad,deut3192
